2024-04-19 18:18:22 info: Congratulations, your extension "Embold" is now active!
2024-04-19 18:18:22 info: tempDirectory : /Users/pedriito/.vscode/extensions/embold-vscode.embold-0.1.8/temp
2024-04-19 18:18:27 info: Extraction complete for source: /Users/pedriito/.vscode/extensions/embold-vscode.embold-0.1.8/resources/embold-scanner-archive.zip, destination: /Users/pedriito/.vscode/extensions/embold-vscode.embold-0.1.8/temp
2024-04-19 18:18:27 info: Extension installed on machine OS : darwin
2024-04-19 18:18:27 info: Fetched the issues from DB
2024-04-19 18:18:28 info: Java version installed on machine : 
openjdk version "19.0.2" 2023-01-17
OpenJDK Runtime Environment (build 19.0.2+7-44)
OpenJDK 64-Bit Server VM (build 19.0.2+7-44, mixed mode, sharing)

2024-04-19 18:18:28 info: Java installed on machine.
2024-04-19 18:18:28 info: Embold extension version response:{"hasSupport":false,"version":"0.1.6","changeNotes":"<div> <p>Release Date: 09 Oct, 2023 <br><span>Bug fixes and improvements.</span></p> </div>"}
2024-04-19 18:18:28 info: Current installed embold extension version : 0.1.8
2024-04-19 18:18:28 info: Latest embold extension version on marketplace : 0.1.6
2024-04-19 18:18:56 info: Row(s) deleted
2024-04-19 18:18:56 info: Row(s) deleted
2024-04-19 18:19:07 info: Row(s) deleted
2024-04-19 18:19:07 info: Row(s) deleted
2024-04-19 18:19:07 info: Row(s) deleted
2024-04-19 18:19:07 info: Row(s) deleted
2024-04-19 18:20:08 info: Row(s) deleted
2024-04-19 18:20:08 info: Row(s) deleted
2024-04-19 18:20:08 info: Row(s) deleted
2024-04-19 18:20:08 info: Row(s) deleted
2024-04-19 18:23:36 info: Row(s) deleted
2024-04-19 18:23:36 info: Row(s) deleted
2024-04-19 18:28:17 info: Row(s) deleted
2024-04-19 18:28:17 info: Row(s) deleted
2024-04-19 18:28:17 info: Row(s) deleted
2024-04-19 18:28:17 info: Row(s) deleted
2024-04-19 18:28:17 info: Row(s) deleted
2024-04-19 18:28:17 info: Row(s) deleted
2024-04-19 18:28:17 info: Row(s) deleted
2024-04-19 18:28:17 info: Row(s) deleted
2024-04-19 18:28:17 info: Row(s) deleted
2024-04-19 18:28:17 info: Row(s) deleted
2024-04-19 18:29:04 info: Row(s) deleted
2024-04-19 18:29:07 info: Row(s) deleted
2024-04-19 18:29:12 info: Row(s) deleted
2024-04-19 18:29:12 info: Row(s) deleted
2024-04-19 18:29:16 info: Row(s) deleted
2024-04-19 18:29:18 info: Row(s) deleted
2024-04-19 18:29:18 info: Row(s) deleted
2024-04-19 18:29:22 info: Row(s) deleted
2024-04-19 18:29:22 info: Row(s) deleted
2024-04-19 18:29:27 info: Row(s) deleted
2024-04-19 18:29:27 info: Row(s) deleted
2024-04-19 18:29:28 info: Row(s) deleted
2024-04-19 18:29:28 info: Row(s) deleted
2024-04-19 18:30:53 info: Row(s) deleted
2024-04-19 18:30:53 info: Row(s) deleted
2024-04-19 18:32:08 info: Row(s) deleted
2024-04-19 18:32:08 info: Row(s) deleted
2024-04-19 18:32:08 info: Row(s) deleted
2024-04-19 18:32:08 info: Row(s) deleted
2024-04-19 18:32:08 info: Row(s) deleted
2024-04-19 18:32:08 info: Row(s) deleted
2024-04-19 18:32:08 info: Row(s) deleted
2024-04-19 18:32:08 info: Row(s) deleted
2024-04-19 18:32:08 info: Row(s) deleted
2024-04-19 18:32:08 info: Row(s) deleted
2024-04-19 18:39:58 info: Row(s) deleted
2024-04-19 18:39:58 info: Row(s) deleted
2024-04-19 18:46:08 info: Row(s) deleted
2024-04-19 18:52:54 info: Row(s) deleted
2024-04-19 18:52:54 info: Row(s) deleted
2024-04-19 18:53:45 info: Row(s) deleted
2024-04-19 19:00:18 info: Row(s) deleted
2024-04-19 19:00:18 info: Row(s) deleted
2024-04-19 19:00:18 info: Row(s) deleted
2024-04-19 19:00:18 info: Row(s) deleted
2024-04-19 19:00:18 info: Row(s) deleted
2024-04-19 19:00:18 info: Row(s) deleted
2024-04-19 19:00:18 info: Row(s) deleted
2024-04-19 19:00:18 info: Row(s) deleted
2024-04-19 19:01:19 info: Row(s) deleted
2024-04-19 19:01:19 info: Row(s) deleted
2024-04-19 19:01:19 info: Row(s) deleted
2024-04-19 19:01:19 info: Row(s) deleted
2024-04-19 19:01:20 info: Row(s) deleted
2024-04-19 19:01:20 info: Row(s) deleted
2024-04-19 19:01:20 info: Row(s) deleted
2024-04-19 19:01:20 info: Row(s) deleted
2024-04-19 19:01:20 info: Row(s) deleted
2024-04-19 19:01:20 info: Row(s) deleted
2024-04-19 19:01:20 info: Row(s) deleted
2024-04-19 19:59:53 info: Row(s) deleted
2024-04-19 19:59:53 info: Row(s) deleted
2024-04-19 20:02:23 info: Row(s) deleted
2024-04-19 20:02:23 info: Row(s) deleted
2024-04-19 20:02:23 info: Row(s) deleted
2024-04-19 20:02:23 info: Row(s) deleted
2024-04-19 20:03:27 info: Row(s) deleted
2024-04-19 20:03:31 info: Row(s) deleted
2024-04-19 20:03:31 info: Row(s) deleted
2024-04-19 20:03:31 info: Row(s) deleted
2024-04-19 20:03:31 info: Row(s) deleted
2024-04-19 20:03:31 info: Row(s) deleted
2024-04-19 20:03:31 info: Row(s) deleted
2024-04-19 20:03:31 info: Row(s) deleted
2024-04-19 20:03:31 info: Row(s) deleted
2024-04-19 20:03:31 info: Row(s) deleted
2024-04-19 20:03:31 info: Row(s) deleted
2024-04-19 20:03:31 info: Row(s) deleted
2024-04-19 20:03:31 info: Row(s) deleted
2024-04-19 20:03:31 info: Row(s) deleted
2024-04-19 20:03:31 info: Row(s) deleted
2024-04-19 20:03:31 info: Row(s) deleted
2024-04-19 20:03:31 info: Row(s) deleted
2024-04-19 20:03:31 info: Row(s) deleted
2024-04-19 20:03:31 info: Row(s) deleted
2024-04-19 20:03:31 info: Row(s) deleted
2024-04-19 20:03:31 info: Row(s) deleted
2024-04-19 20:03:31 info: Row(s) deleted
2024-04-19 20:03:31 info: Row(s) deleted
